speech_start	speech_end	speaker
0.571	1.887	SPEAKER_0
1.887	2.326	SPEAKER_1
3.271	4.925	SPEAKER_1
5.465	6.511	SPEAKER_0
6.983	7.996	SPEAKER_0
8.519	11.185	SPEAKER_0
11.79	12.32	SPEAKER_0
14.172	15.12	SPEAKER_1
15.13	17.66	SPEAKER_2
18.138	20.045	SPEAKER_2
20.686	22.711	SPEAKER_2
23.234	25.293	SPEAKER_2
25.613	28.837	SPEAKER_2
29.157	29.731	SPEAKER_2
30.035	31.047	SPEAKER_2
32.0	32.21	SPEAKER_0
32.82	33.2	SPEAKER_0
33.545	37.122	SPEAKER_0
37.66	38.07	SPEAKER_1
38.08	40.55	SPEAKER_0
42.05	42.4	SPEAKER_1
42.42	43.91	SPEAKER_0
44.952	48.04	SPEAKER_0
48.58	51.28	SPEAKER_0
51.28	53.01	SPEAKER_0
53.93	57.305	SPEAKER_0
57.31	59.15	SPEAKER_2
60.393	64.713	SPEAKER_2
65.017	67.632	SPEAKER_2
67.784	69.151	SPEAKER_2
69.387	74.686	SPEAKER_2
74.99	78.213	SPEAKER_2
79.343	79.867	SPEAKER_1
80.53	80.7	SPEAKER_1
82.313	82.735	SPEAKER_2
82.972	84.389	SPEAKER_2
84.693	90.582	SPEAKER_2
90.835	92.86	SPEAKER_2
93.282	94.97	SPEAKER_2
94.97	96.11	SPEAKER_2
97.72	98.39	SPEAKER_1
98.39	99.38	SPEAKER_0
99.38	100.03	SPEAKER_1
101.872	103.75	SPEAKER_0
103.75	104.18	SPEAKER_1
104.19	107.87	SPEAKER_0
108.588	108.96	SPEAKER_01
108.96	112.04	SPEAKER_0
112.334	113.279	SPEAKER_0
113.903	114.629	SPEAKER_2
114.85	115.5	SPEAKER_1
115.5	116.39	SPEAKER_2
117.076	119.118	SPEAKER_2
119.658	126.61	SPEAKER_2
127.05	130.08	SPEAKER_2
130.357	131.18	SPEAKER_0
131.18	132.52	SPEAKER_1
132.753	135.503	SPEAKER_0
135.959	136.74	SPEAKER_1
136.74	139.71	SPEAKER_0
139.942	141.106	SPEAKER_0
141.106	142.3	SPEAKER_1
145.55	149.18	SPEAKER_3
150.1	151.771	SPEAKER_0
152.84	154.45	SPEAKER_3
155.213	157.593	SPEAKER_2
158.386	167.313	SPEAKER_2
168.9	169.177	SPEAKER_0
169.743	173.472	SPEAKER_3
174.191	175.876	SPEAKER_0
177.235	182.095	SPEAKER_0
182.973	184.998	SPEAKER_0
185.167	185.707	SPEAKER_1
186.23	186.652	SPEAKER_0
187.073	187.748	SPEAKER_3
188.407	189.2	SPEAKER_3
189.553	190.192	SPEAKER_1
190.445	191.476	SPEAKER_0
191.615	192.107	SPEAKER_1
192.8	193.492	SPEAKER_0
194.315	194.977	SPEAKER_1
197.992	200.506	SPEAKER_2
200.911	203.036	SPEAKER_2
203.036	211.985	SPEAKER_0
213.483	220.958	SPEAKER_0
222.258	223.793	SPEAKER_0
226.139	227.101	SPEAKER_0
227.405	230.746	SPEAKER_0
231.472	231.877	SPEAKER_01
232.619	235.285	SPEAKER_01
236.185	240.438	SPEAKER_0
241.846	242.107	SPEAKER_3
242.138	246.415	SPEAKER_2
246.63	248.761	SPEAKER_1
251.047	251.671	SPEAKER_1
252.7	255.313	SPEAKER_0
255.352	256.546	SPEAKER_1
256.546	259.399	SPEAKER_0
260.412	261.172	SPEAKER_1
261.408	263.618	SPEAKER_0
264.732	265.559	SPEAKER_1
265.745	267.297	SPEAKER_0
267.533	271.33	SPEAKER_0
271.718	272.36	SPEAKER_0
273.608	276.865	SPEAKER_0
277.999	279.299	SPEAKER_3
279.552	279.992	SPEAKER_0
280.443	282.232	SPEAKER_0
283.193	285.303	SPEAKER_0
287.312	287.693	SPEAKER_1
288.205	288.762	SPEAKER_0
289.564	290.141	SPEAKER_0
290.551	292.525	SPEAKER_0
293.623	295.0	SPEAKER_0
295.9	296.93	SPEAKER_0
298.049	298.788	SPEAKER_1
299.1	302.878	SPEAKER_0
303.899	304.405	SPEAKER_3
304.883	305.821	SPEAKER_2
307.038	311.577	SPEAKER_2
311.932	315.172	SPEAKER_2
315.492	318.462	SPEAKER_2
318.549	319.125	SPEAKER_1
319.168	321.373	SPEAKER_0
322.969	323.809	SPEAKER_0
323.929	324.419	SPEAKER_1
324.539	325.395	SPEAKER_0
325.859	326.239	SPEAKER_3
326.376	327.671	SPEAKER_0
327.83	328.725	SPEAKER_1
328.999	331.31	SPEAKER_0
332.266	336.029	SPEAKER_0
337.683	339.488	SPEAKER_2
340.147	346.222	SPEAKER_2
346.711	349.975	SPEAKER_2
351.144	351.524	SPEAKER_1
351.804	352.374	SPEAKER_0
352.779	353.309	SPEAKER_1
353.471	353.971	SPEAKER_0
355.334	362.978	SPEAKER_2
364.159	364.889	SPEAKER_0
365.797	367.585	SPEAKER_0
368.53	370.319	SPEAKER_0
375.753	376.63	SPEAKER_0
378.942	382.148	SPEAKER_0
382.773	387.833	SPEAKER_0
387.871	389.471	SPEAKER_1
390.199	390.509	SPEAKER_1
390.842	391.266	SPEAKER_1
392.028	392.428	SPEAKER_1
393.0	394.333	SPEAKER_1
395.162	396.767	SPEAKER_1
396.776	403.158	SPEAKER_0
403.85	406.651	SPEAKER_0
407.258	413.418	SPEAKER_0
414.447	414.869	SPEAKER_0
415.51	416.59	SPEAKER_0
417.316	417.753	SPEAKER_0
417.753	418.434	SPEAKER_1
418.738	421.062	SPEAKER_0
422.007	426.226	SPEAKER_2
426.918	430.343	SPEAKER_2
435.794	442.932	SPEAKER_0
444.232	446.425	SPEAKER_0
447.387	448.619	SPEAKER_2
449.446	453.766	SPEAKER_2
454.725	456.28	SPEAKER_0
458.049	459.089	SPEAKER_1
459.098	459.368	SPEAKER_0
459.571	459.824	SPEAKER_0
460.567	462.878	SPEAKER_0
464.11	464.684	SPEAKER_0
466.115	466.864	SPEAKER_1
467.091	469.126	SPEAKER_0
470.945	471.873	SPEAKER_0
473.874	475.614	SPEAKER_3
476.499	477.469	SPEAKER_1
480.158	483.415	SPEAKER_1
487.47	488.23	SPEAKER_1
492.713	493.102	SPEAKER_0
493.642	493.962	SPEAKER_1
494.3	495.469	SPEAKER_0
495.539	496.064	SPEAKER_1
496.415	498.069	SPEAKER_0
498.519	498.893	SPEAKER_0
498.893	499.448	SPEAKER_1
