speech_start	speech_end	speaker
0.47	2.191	SPEAKER_00
2.495	9.751	SPEAKER_00
9.97	12.063	SPEAKER_00
12.063	12.603	SPEAKER_03
12.95	16.05	SPEAKER_00
17.395	18.003	SPEAKER_02
19.252	24.601	SPEAKER_00
24.989	27.655	SPEAKER_00
28.263	31.334	SPEAKER_00
32.498	32.937	SPEAKER_01
33.663	34.692	SPEAKER_01
36.886	37.966	SPEAKER_03
40.109	40.868	SPEAKER_03
41.78	42.64	SPEAKER_02
42.88	44.8	SPEAKER_01
45.745	47.264	SPEAKER_01
49.694	52.0	SPEAKER_01
52.89	53.17	SPEAKER_01
55.448	55.786	SPEAKER_03
56.393	57.052	SPEAKER_03
60.798	64.409	SPEAKER_01
66.468	66.974	SPEAKER_03
68.476	69.758	SPEAKER_01
71.986	72.762	SPEAKER_01
73.758	74.737	SPEAKER_02
74.905	75.327	SPEAKER_02
75.867	76.424	SPEAKER_03
76.627	77.32	SPEAKER_03
77.943	79.833	SPEAKER_01
82.128	83.28	SPEAKER_02
88.743	89.502	SPEAKER_01
90.008	90.4	SPEAKER_02
90.56	92.71	SPEAKER_01
93.991	94.497	SPEAKER_02
94.936	95.73	SPEAKER_02
95.84	97.4	SPEAKER_01
98.176	99.53	SPEAKER_02
99.85	101.26	SPEAKER_01
101.669	103.475	SPEAKER_01
105.095	106.03	SPEAKER_02
106.287	107.067	SPEAKER_01
107.963	108.115	SPEAKER_02
108.267	108.76	SPEAKER_02
108.942	109.82	SPEAKER_01
111.085	111.676	SPEAKER_03
112.199	113.887	SPEAKER_01
115.405	116.367	SPEAKER_02
117.903	118.612	SPEAKER_02
119.371	121.278	SPEAKER_02
121.987	122.86	SPEAKER_01
122.864	123.792	SPEAKER_03
123.792	126.52	SPEAKER_01
126.54	128.37	SPEAKER_02
130.593	131.79	SPEAKER_01
132.046	134.876	SPEAKER_02
135.588	136.6	SPEAKER_02
137.478	137.933	SPEAKER_01
140.735	142.422	SPEAKER_00
143.114	143.62	SPEAKER_03
143.924	145.865	SPEAKER_00
146.523	152.89	SPEAKER_00
153.408	162.588	SPEAKER_00
165.085	166.37	SPEAKER_02
166.908	169.418	SPEAKER_01
170.89	175.16	SPEAKER_01
180.728	182.247	SPEAKER_01
186.17	186.36	SPEAKER_02
186.635	186.955	SPEAKER_01
187.192	187.53	SPEAKER_02
187.69	189.3	SPEAKER_01
189.588	190.702	SPEAKER_01
191.309	193.72	SPEAKER_02
195.832	196.169	SPEAKER_00
196.287	199.73	SPEAKER_00
200.118	211.45	SPEAKER_00
211.897	216.065	SPEAKER_00
216.436	218.663	SPEAKER_00
218.95	219.49	SPEAKER_01
219.946	221.347	SPEAKER_01
222.359	227.152	SPEAKER_01
231.573	232.15	SPEAKER_02
232.19	234.7	SPEAKER_01
236.365	237.53	SPEAKER_01
238.289	238.559	SPEAKER_01
239.369	239.825	SPEAKER_01
240.533	240.837	SPEAKER_01
241.377	243.436	SPEAKER_01
244.853	245.444	SPEAKER_01
250.591	253.409	SPEAKER_01
254.742	255.164	SPEAKER_01
257.223	259.535	SPEAKER_01
259.754	267.31	SPEAKER_00
267.972	272.849	SPEAKER_00
273.372	280.19	SPEAKER_00
281.084	282.35	SPEAKER_01
282.974	283.95	SPEAKER_01
284.192	285.382	SPEAKER_03
285.44	289.03	SPEAKER_00
289.403	292.745	SPEAKER_00
293.167	295.073	SPEAKER_00
295.63	298.718	SPEAKER_00
301.115	301.587	SPEAKER_03
301.739	302.72	SPEAKER_01
303.477	303.815	SPEAKER_01
306.953	308.017	SPEAKER_01
312.522	313.045	SPEAKER_03
315.172	315.577	SPEAKER_03
328.688	330.241	SPEAKER_01
331.54	331.844	SPEAKER_00
332.114	333.312	SPEAKER_00
333.548	335.506	SPEAKER_00
335.962	336.637	SPEAKER_00
336.805	337.649	SPEAKER_00
338.122	343.336	SPEAKER_00
343.44	347.07	SPEAKER_01
347.774	349.698	SPEAKER_01
352.567	353.984	SPEAKER_01
356.195	357.376	SPEAKER_01
357.899	359.84	SPEAKER_01
360.262	364.31	SPEAKER_01
365.476	365.763	SPEAKER_01
365.965	367.26	SPEAKER_01
367.552	370.218	SPEAKER_01
371.028	372.918	SPEAKER_01
373.272	375.247	SPEAKER_01
376.394	378.453	SPEAKER_01
379.094	379.617	SPEAKER_01
379.904	381.73	SPEAKER_02
381.78	383.99	SPEAKER_01
387.464	389.32	SPEAKER_02
389.877	390.31	SPEAKER_02
390.448	390.648	SPEAKER_01
391.902	393.32	SPEAKER_01
396.56	400.103	SPEAKER_00
400.643	410.89	SPEAKER_00
412.051	413.047	SPEAKER_03
413.047	416.438	SPEAKER_01
417.603	418.362	SPEAKER_01
421.298	422.024	SPEAKER_01
426.125	426.513	SPEAKER_02
426.732	428.369	SPEAKER_01
428.639	429.365	SPEAKER_01
432.014	434.427	SPEAKER_00
435.203	442.09	SPEAKER_00
442.696	444.89	SPEAKER_00
445.21	447.725	SPEAKER_00
452.5	453.884	SPEAKER_01
454.087	454.812	SPEAKER_02
455.25	460.36	SPEAKER_00
460.955	468.177	SPEAKER_00
468.27	469.42	SPEAKER_03
469.983	475.13	SPEAKER_00
475.636	478.808	SPEAKER_00
480.209	481.964	SPEAKER_01
483.331	484.647	SPEAKER_03
485.035	485.812	SPEAKER_03
486.47	486.807	SPEAKER_01
487.718	488.174	SPEAKER_03
490.503	491.431	SPEAKER_01
492.376	494.62	SPEAKER_01
494.755	495.042	SPEAKER_03
495.447	496.747	SPEAKER_03
497.067	497.472	SPEAKER_00
497.658	498.991	SPEAKER_00
499.075	500.611	SPEAKER_00
501.438	502.079	SPEAKER_00
