speech_start	speech_end	speaker
0.031	1.921	SPEAKER_0
2.83	5.62	SPEAKER_1
5.633	7.152	SPEAKER_0
8.85	10.24	SPEAKER_0
10.24	10.713	SPEAKER_2
11.06	17.24	SPEAKER_2
17.68	18.07	SPEAKER_2
21.31	23.504	SPEAKER_2
23.858	26.238	SPEAKER_2
26.474	27.858	SPEAKER_2
27.976	30.963	SPEAKER_2
31.435	34.49	SPEAKER_2
35.96	36.98	SPEAKER_0
38.287	38.641	SPEAKER_2
38.894	40.092	SPEAKER_2
40.345	42.185	SPEAKER_2
42.623	43.248	SPEAKER_2
43.552	44.328	SPEAKER_2
44.767	48.175	SPEAKER_2
48.783	51.247	SPEAKER_2
56.275	58.452	SPEAKER_2
58.672	59.768	SPEAKER_2
60.376	63.751	SPEAKER_2
64.443	64.848	SPEAKER_2
65.05	67.868	SPEAKER_2
70.18	70.889	SPEAKER_2
71.294	72.475	SPEAKER_2
73.37	75.31	SPEAKER_2
75.715	80.542	SPEAKER_2
80.963	82.837	SPEAKER_2
83.41	85.047	SPEAKER_2
85.756	88.844	SPEAKER_2
97.18	97.923	SPEAKER_2
98.294	105.263	SPEAKER_2
105.5	109.685	SPEAKER_2
110.258	113.347	SPEAKER_2
128.332	129.479	SPEAKER_1
130.542	130.829	SPEAKER_2
131.167	132.365	SPEAKER_2
132.517	134.407	SPEAKER_2
134.862	135.436	SPEAKER_2
135.773	142.186	SPEAKER_2
142.962	145.274	SPEAKER_2
148.328	148.818	SPEAKER_1
149.678	151.079	SPEAKER_1
182.078	183.648	SPEAKER_0
184.855	185.782	SPEAKER_1
189.098	194.06	SPEAKER_2
194.9	195.518	SPEAKER_1
195.518	196.909	SPEAKER_2
204.556	205.231	SPEAKER_1
217.8	218.554	SPEAKER_1
223.045	223.818	SPEAKER_2
224.182	225.886	SPEAKER_2
226.342	228.333	SPEAKER_2
228.805	230.138	SPEAKER_2
230.29	234.998	SPEAKER_2
235.471	238.576	SPEAKER_2
240.991	241.291	SPEAKER_1
242.327	242.773	SPEAKER_1
245.022	245.815	SPEAKER_1
251.893	252.366	SPEAKER_0
252.366	256.279	SPEAKER_2
256.936	258.91	SPEAKER_2
259.518	261.593	SPEAKER_2
264.749	265.66	SPEAKER_1
265.998	266.875	SPEAKER_1
267.82	273.288	SPEAKER_1
273.895	276.815	SPEAKER_1
278.08	278.772	SPEAKER_1
279.295	280.527	SPEAKER_1
281.681	282.843	SPEAKER_1
283.374	284.187	SPEAKER_1
284.681	285.281	SPEAKER_1
286.418	286.781	SPEAKER_1
287.33	287.605	SPEAKER_1
288.099	288.449	SPEAKER_1
289.031	289.868	SPEAKER_1
297.352	299.866	SPEAKER_2
300.457	304.709	SPEAKER_2
306.737	307.943	SPEAKER_1
308.124	308.837	SPEAKER_1
310.175	310.612	SPEAKER_1
310.953	314.108	SPEAKER_1
314.935	316.606	SPEAKER_1
317.112	318.023	SPEAKER_1
319.036	319.93	SPEAKER_1
320.993	321.736	SPEAKER_1
322.782	323.98	SPEAKER_0
323.98	324.368	SPEAKER_1
324.369	325.031	SPEAKER_0
325.218	325.793	SPEAKER_1
326.118	326.631	SPEAKER_1
327.068	327.676	SPEAKER_1
329.785	330.224	SPEAKER_1
337.212	337.793	SPEAKER_1
343.37	346.036	SPEAKER_1
346.677	349.107	SPEAKER_1
362.017	364.497	SPEAKER_0
366.269	366.607	SPEAKER_1
376.765	377.795	SPEAKER_0
378.065	381.878	SPEAKER_0
383.92	385.928	SPEAKER_0
386.637	388.004	SPEAKER_0
391.352	393.434	SPEAKER_1
410.688	412.766	SPEAKER_3
443.793	445.092	SPEAKER_3
447.117	448.494	SPEAKER_3
449.159	450.728	SPEAKER_3
451.672	452.278	SPEAKER_1
452.278	452.672	SPEAKER_3
453.31	456.112	SPEAKER_3
459.2	461.123	SPEAKER_3
463.098	463.807	SPEAKER_3
464.86	466.499	SPEAKER_1
466.979	467.536	SPEAKER_3
468.376	469.038	SPEAKER_3
470.605	470.971	SPEAKER_1
472.039	473.383	SPEAKER_3
475.361	476.533	SPEAKER_3
477.166	477.922	SPEAKER_3
478.572	480.192	SPEAKER_3
481.964	483.162	SPEAKER_1
484.563	484.985	SPEAKER_0
486.723	488.647	SPEAKER_0
494.088	495.427	SPEAKER_3
501.083	502.703	SPEAKER_3
503.075	503.513	SPEAKER_3
504.861	505.122	SPEAKER_1
505.724	507.26	SPEAKER_3
507.597	507.985	SPEAKER_1
508.171	508.508	SPEAKER_1
509.504	510.505	SPEAKER_3
512.103	513.436	SPEAKER_3
514.752	515.849	SPEAKER_3
517.233	519.089	SPEAKER_3
520.205	520.589	SPEAKER_1
520.589	521.25	SPEAKER_3
521.884	524.144	SPEAKER_0
524.794	527.914	SPEAKER_1
529.096	530.058	SPEAKER_1
531.104	532.679	SPEAKER_3
533.382	534.378	SPEAKER_3
537.027	537.517	SPEAKER_1
540.294	541.914	SPEAKER_0
544.78	546.663	SPEAKER_3
547.404	547.799	SPEAKER_3
549.295	550.73	SPEAKER_3
551.984	553.579	SPEAKER_3
555.1	555.674	SPEAKER_3
555.744	557.159	SPEAKER_1
559.599	560.359	SPEAKER_1
569.554	570.049	SPEAKER_1
17.96	19.83	SPEAKER_0
67.76	68.17	SPEAKER_0
69.44	69.8	SPEAKER_0
76.453	77.843	SPEAKER_0
79.36	80.12	SPEAKER_0
99.683	100.523	SPEAKER_0
101.61	103.08	SPEAKER_0
136.204	137.034	SPEAKER_1
193.909	194.736	SPEAKER_1
523.23	524.934	SPEAKER_3
